ISIN/CUSIP,Fund Name,Objective
LU1808993080,AB Financial Credit Portfolio A2 USD,"Seeks to maximize total returns through current income and capital appreciation by Investing primarily in the financial credit sector globally including banks, insurance and other finance companies Focusing on subordinated debt securities of the financial credit sector including contingent convertible bonds ( CoCos?) and preferred shares which may be rated Investment Grade or below Investment Grade."
LU0689625282,AB FCP I - Short Duration Bond Portfolio,"Seeks high total investment return by investing in a global portfolio of short-duration investment grade, fixed-income securities, Hedging non-US dollar-denominated positions to US dollars to minimize the risks of currency fluctuations, Drawing on a large global team to evaluate the top-down factors influencing markets as well as the bottom-up factors affecting bond prices."
LU0289939786,AB Eurozone Equity Portfolio,"Seeks long-term capital growth by Investing in stocks across the Eurozone that offer compelling long-term return potential and attractive valuations, Taking a long-term perspective in order to capitalize on short-term market inefficiencies created by investors? overreaction to macroeconomic, industry, or company-specific concerns, Employing a disciplined, bottom-up approach that combines fundamental research with proprietary quantitative tools to identify attractive investment opportunities."
LU0539801802,AB European Income Portfolio,"Seeks high total return by maximizing current income and achieving capital appreciation by Maintaining a diversified portfolio of investment grade and non-investment grade fixed-income securities issued by European companies and governments, with flexibility to invest in some non-European issuers. Investing predominantly in Euro or European currency-denominated securities. Dynamically balancing higher-yielding Euro fixed-income assets with lower risk government bonds to generate yield from diverse sources. Employing a multi-sector approach in search of the best opportunities."
LU0128316840,AB European Equity Portfolio,"Seeks long-term capital growth by Investing in stocks of companies throughout Europe that offer compelling long-term return potential and attractive valuations, Taking a long-term perspective in order to capitalize on short-term market inefficiencies created by investors? overreaction to macroeconomic, industry, or company-specific concerns, Employing a disciplined, bottom-up approach that combines fundamental research with proprietary quantitative tools to identify attractive investment opportunities."
LU1005415309,AB Euro High Yield Portfolio,"Seeks high total return through a combination of income and capital appreciation by investing mainly in higher yielding, lower-rated (below Investment Grade) corporate debt denominated in or hedged to Euros, Having the flexibility to take large under- or overweight positions in segments of the Euro high-yield market as market conditions change, Generating returns through a combination of debt security analysis and selection, sector allocation, country selection, as well as currency-oriented decisions."
LU1467540826,AB ESG Responsible Global Factor Portfolio,"The Portfolio seeks to achieve its investment objective by investing in the equity securities of socially responsible companies located throughout the world, including in developed and emerging market countries."
Uknown,AB Equity Income,Seeks current income and long-term growth of capital.
LU0525718630,AB Emerging Markets Value Portfolio,"The investment objective of the Portfolio is to achieve long-term capital growth. The Portfolio will pursue this objective by investing, under normal circumstances, primarily, and at all times at least two-thirds of its assets, in equity securities of companies domiciled, or with primary operations, in emerging market countries. Within this investment framework, the Portfolio may invest in companies of any size and in any sub-sector of the emerging-markets sector."
Uknown,AB Emerging Markets Multi Asset Portfolio,The Fund?s investment objective is to maximize total return. Total return is thesum of capital appreciation and income.
LU0592506637,AB Emerging Markets Debt Portfolio,"Seeks to maximize total returns from price appreciation and income by Investing in a diversified portfolio of hard currency emerging market debt, with an opportunistic allocation to local debt and currencies. Looking for the best balance between yield and risk across a broad universe of sovereign, quasi-sovereign and corporate bonds. Utilizing the research of its global fixed income, global economic and global credit teams."
